tensor(3.8875, device='cuda:0')
tensor(3.8180, device='cuda:0')
tensor(3.8970, device='cuda:0')
tensor(3.9019, device='cuda:0')
tensor(4.0189, device='cuda:0')
tensor(3.7725, device='cuda:0')
tensor(3.8780, device='cuda:0')
tensor(3.9903, device='cuda:0')
tensor(4.1298, device='cuda:0')
tensor(3.7770, device='cuda:0')
tensor(3.9620, device='cuda:0')
tensor(3.8441, device='cuda:0')
tensor(4.0812, device='cuda:0')
tensor(4.0614, device='cuda:0')
tensor(4.3012, device='cuda:0')
tensor(4.1453, device='cuda:0')
tensor(4.1492, device='cuda:0')
tensor(4.1590, device='cuda:0')
tensor(3.7685, device='cuda:0')
tensor(4.0813, device='cuda:0')
tensor(3.8237, device='cuda:0')
tensor(4.0924, device='cuda:0')
tensor(4.0033, device='cuda:0')
tensor(3.9451, device='cuda:0')
tensor(4.2492, device='cuda:0')
tensor(4.0377, device='cuda:0')
tensor(3.8136, device='cuda:0')
tensor(3.9727, device='cuda:0')
tensor(3.7659, device='cuda:0')
tensor(3.7716, device='cuda:0')
tensor(4.1228, device='cuda:0')
tensor(3.8580, device='cuda:0')
tensor(3.9303, device='cuda:0')
tensor(3.8690, device='cuda:0')
tensor(3.6668, device='cuda:0')
tensor(3.7606, device='cuda:0')
tensor(3.7369, device='cuda:0')
tensor(3.6959, device='cuda:0')
tensor(3.8405, device='cuda:0')
tensor(4.0262, device='cuda:0')
tensor(3.7233, device='cuda:0')
tensor(3.9596, device='cuda:0')
tensor(3.8208, device='cuda:0')
tensor(3.9113, device='cuda:0')
tensor(3.7362, device='cuda:0')
tensor(3.7696, device='cuda:0')
tensor(4.1073, device='cuda:0')
tensor(4.0012, device='cuda:0')
tensor(4.0737, device='cuda:0')
tensor(3.8335, device='cuda:0')
tensor(3.9363, device='cuda:0')
tensor(3.7572, device='cuda:0')
tensor(4.0248, device='cuda:0')
tensor(3.7592, device='cuda:0')
tensor(3.9947, device='cuda:0')
tensor(3.8416, device='cuda:0')
tensor(3.9948, device='cuda:0')
tensor(3.7236, device='cuda:0')
tensor(4.2458, device='cuda:0')
tensor(4.2607, device='cuda:0')
tensor(4.0491, device='cuda:0')
tensor(3.9576, device='cuda:0')
tensor(4.0924, device='cuda:0')
tensor(3.8240, device='cuda:0')
tensor(3.9744, device='cuda:0')
tensor(3.8030, device='cuda:0')
tensor(3.7007, device='cuda:0')
tensor(3.6610, device='cuda:0')
tensor(3.9831, device='cuda:0')
tensor(3.8000, device='cuda:0')
tensor(3.7505, device='cuda:0')
tensor(3.9713, device='cuda:0')
tensor(3.8248, device='cuda:0')
tensor(3.8458, device='cuda:0')
tensor(4.0717, device='cuda:0')
tensor(3.7990, device='cuda:0')
tensor(3.9876, device='cuda:0')
tensor(4.1157, device='cuda:0')
tensor(4.0703, device='cuda:0')
tensor(4.1360, device='cuda:0')
tensor(4.2117, device='cuda:0')
tensor(4.1057, device='cuda:0')
tensor(4.0579, device='cuda:0')
tensor(4.0950, device='cuda:0')
tensor(4.2079, device='cuda:0')
tensor(4.1190, device='cuda:0')
tensor(3.9985, device='cuda:0')
tensor(4.2110, device='cuda:0')
tensor(3.9165, device='cuda:0')
tensor(4.0869, device='cuda:0')
tensor(4.1191, device='cuda:0')
tensor(4.1723, device='cuda:0')
tensor(4.1269, device='cuda:0')
tensor(4.2046, device='cuda:0')
tensor(4.0676, device='cuda:0')
tensor(4.4431, device='cuda:0')
tensor(4.1664, device='cuda:0')
tensor(4.0613, device='cuda:0')
tensor(4.1291, device='cuda:0')
tensor(4.2782, device='cuda:0')
tensor(4.1345, device='cuda:0')
tensor(3.7777, device='cuda:0')
tensor(4.0925, device='cuda:0')
tensor(4.2588, device='cuda:0')
tensor(3.9003, device='cuda:0')
tensor(4.1797, device='cuda:0')
tensor(4.0174, device='cuda:0')
tensor(4.3833, device='cuda:0')
tensor(4.1693, device='cuda:0')
tensor(3.9522, device='cuda:0')
tensor(4.2541, device='cuda:0')
tensor(3.9994, device='cuda:0')
tensor(4.0779, device='cuda:0')
tensor(4.0423, device='cuda:0')
tensor(4.0498, device='cuda:0')
tensor(3.8932, device='cuda:0')
tensor(3.8959, device='cuda:0')
tensor(4.0534, device='cuda:0')
tensor(4.0767, device='cuda:0')
tensor(4.0326, device='cuda:0')
tensor(3.9714, device='cuda:0')
tensor(4.0502, device='cuda:0')
tensor(4.1527, device='cuda:0')
tensor(3.9704, device='cuda:0')
tensor(3.9499, device='cuda:0')
tensor(3.8158, device='cuda:0')
tensor(3.9150, device='cuda:0')
tensor(4.0868, device='cuda:0')
tensor(4.1967, device='cuda:0')
tensor(4.0313, device='cuda:0')
tensor(3.9969, device='cuda:0')
tensor(3.8647, device='cuda:0')
tensor(4.1331, device='cuda:0')
tensor(4.1973, device='cuda:0')
tensor(4.0948, device='cuda:0')
tensor(4.0561, device='cuda:0')
tensor(3.8560, device='cuda:0')
tensor(3.9146, device='cuda:0')
tensor(3.9350, device='cuda:0')
tensor(3.9236, device='cuda:0')
tensor(3.8442, device='cuda:0')
tensor(3.6800, device='cuda:0')
tensor(4.0106, device='cuda:0')
tensor(4.1496, device='cuda:0')
tensor(3.8297, device='cuda:0')
tensor(3.5855, device='cuda:0')
tensor(3.5416, device='cuda:0')
