tensor(2.4210, device='cuda:0')
tensor(2.3049, device='cuda:0')
tensor(2.3565, device='cuda:0')
tensor(2.2590, device='cuda:0')
tensor(2.4197, device='cuda:0')
tensor(2.1385, device='cuda:0')
tensor(2.1992, device='cuda:0')
tensor(2.3321, device='cuda:0')
tensor(2.4621, device='cuda:0')
tensor(2.1774, device='cuda:0')
tensor(2.3078, device='cuda:0')
tensor(2.3935, device='cuda:0')
tensor(2.5582, device='cuda:0')
tensor(2.6236, device='cuda:0')
tensor(2.8211, device='cuda:0')
tensor(2.5717, device='cuda:0')
tensor(2.5768, device='cuda:0')
tensor(2.6778, device='cuda:0')
tensor(2.3815, device='cuda:0')
tensor(2.6316, device='cuda:0')
tensor(2.3511, device='cuda:0')
tensor(2.4737, device='cuda:0')
tensor(2.4042, device='cuda:0')
tensor(2.3413, device='cuda:0')
tensor(2.6868, device='cuda:0')
tensor(2.5710, device='cuda:0')
tensor(2.4595, device='cuda:0')
tensor(2.4613, device='cuda:0')
tensor(2.1530, device='cuda:0')
tensor(2.3723, device='cuda:0')
tensor(2.5813, device='cuda:0')
tensor(2.4460, device='cuda:0')
tensor(2.4921, device='cuda:0')
tensor(2.4578, device='cuda:0')
tensor(2.1543, device='cuda:0')
tensor(2.3957, device='cuda:0')
tensor(2.2247, device='cuda:0')
tensor(2.2700, device='cuda:0')
tensor(2.4417, device='cuda:0')
tensor(2.5011, device='cuda:0')
tensor(2.1592, device='cuda:0')
tensor(2.5085, device='cuda:0')
tensor(2.3391, device='cuda:0')
tensor(2.1917, device='cuda:0')
tensor(2.1993, device='cuda:0')
tensor(2.2180, device='cuda:0')
tensor(2.5389, device='cuda:0')
tensor(2.4536, device='cuda:0')
tensor(2.5531, device='cuda:0')
tensor(2.3003, device='cuda:0')
tensor(2.5490, device='cuda:0')
tensor(2.2179, device='cuda:0')
tensor(2.4626, device='cuda:0')
tensor(2.2589, device='cuda:0')
tensor(2.6403, device='cuda:0')
tensor(2.3404, device='cuda:0')
tensor(2.3324, device='cuda:0')
tensor(2.2162, device='cuda:0')
tensor(2.7276, device='cuda:0')
tensor(2.8210, device='cuda:0')
tensor(2.5301, device='cuda:0')
tensor(2.4277, device='cuda:0')
tensor(2.5625, device='cuda:0')
tensor(2.1762, device='cuda:0')
tensor(2.4942, device='cuda:0')
tensor(2.3221, device='cuda:0')
tensor(2.2453, device='cuda:0')
tensor(2.2159, device='cuda:0')
tensor(2.3017, device='cuda:0')
tensor(2.3214, device='cuda:0')
tensor(2.3784, device='cuda:0')
tensor(2.6027, device='cuda:0')
tensor(2.4826, device='cuda:0')
tensor(2.3380, device='cuda:0')
tensor(2.4454, device='cuda:0')
tensor(2.3657, device='cuda:0')
tensor(2.4373, device='cuda:0')
tensor(2.6131, device='cuda:0')
